id,curso_actual,tema_actual,curso_canonico,tema_canonico,tema_id,cambia
8017,Algebra,Ecuacion de Grado Superior,Algebra,Ecuaciones de Grado Superior,10,True
8018,Algebra,Ecuacion de Grado Superior,Algebra,Ecuaciones de Grado Superior,10,True
8019,Algebra,Ecuacion de Grado Superior,Algebra,Ecuaciones de Grado Superior,10,True
8020,Algebra,Ecuacion de Grado Superior,Algebra,Ecuaciones de Grado Superior,10,True
8021,Algebra,Ecuacion de Grado Superior,Algebra,Ecuaciones de Grado Superior,10,True
8022,Algebra,Ecuacion de Grado Superior,Algebra,Ecuaciones de Grado Superior,10,True
8023,Algebra,Ecuacion de Grado Superior,Algebra,Ecuaciones de Grado Superior,10,True
8024,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8025,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8026,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8027,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8028,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8029,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8030,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8031,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8032,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8033,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8034,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8035,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8036,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8037,Algebra,Ecuacion de Grado Superior,Algebra,Ecuaciones de Grado Superior,10,True
8038,Algebra,Ecuacion de Grado Superior,Algebra,Ecuaciones de Grado Superior,10,True
8039,Algebra,Ecuacion de Grado Superior,Algebra,Ecuaciones de Grado Superior,10,True
8040,Algebra,Ecuacion de Grado Superior,Algebra,Ecuaciones de Grado Superior,10,True
8041,Algebra,Ecuacion de Grado Superior,Algebra,Ecuaciones de Grado Superior,10,True
8042,Algebra,Ecuacion de Grado Superior,Algebra,Ecuaciones de Grado Superior,10,True
8043,Algebra,Ecuacion de Grado Superior,Algebra,Ecuaciones de Grado Superior,10,True
8044,Algebra,Ecuacion de Grado Superior,Algebra,Ecuaciones de Grado Superior,10,True
8045,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8046,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8047,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8048,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8049,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8050,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8051,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8052,Algebra,Ecuacion de Grado Superior,Algebra,Ecuaciones de Grado Superior,10,True
8053,Algebra,Ecuacion de Grado Superior,Algebra,Ecuaciones de Grado Superior,10,True
8054,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8055,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8056,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8057,Algebra,Ecuacion de Grado Superior,Algebra,Ecuaciones de Grado Superior,10,True
8058,Algebra,Ecuacion de Grado Superior,Algebra,Ecuaciones de Grado Superior,10,True
8059,Algebra,Ecuacion de Grado Superior,Algebra,Ecuaciones de Grado Superior,10,True
8060,Algebra,Ecuacion de Grado Superior,Algebra,Ecuaciones de Grado Superior,10,True
8061,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8062,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8063,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8064,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8065,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8066,Algebra,Sistema de Ecuaciones,Algebra,Sistemas de Ecuaciones Lineales,31,True
8067,Algebra,Intervalos,Algebra,Intervalos,24,True
8068,Algebra,Intervalos,Algebra,Intervalos,24,True
8069,Algebra,Intervalos,Algebra,Intervalos,24,True
8070,Algebra,Desigualdades,Algebra,Desigualdades,5,True
8071,Algebra,Desigualdades,Algebra,Desigualdades,5,True
8072,Algebra,Inecuaciones Lineales,Algebra,Inecuaciones Lineales,21,True
8073,Algebra,Inecuaciones Lineales,Algebra,Inecuaciones Lineales,21,True
8074,Algebra,Intervalos,Algebra,Intervalos,24,True
8075,Algebra,Desigualdades,Algebra,Desigualdades,5,True
8076,Algebra,Inecuaciones Lineales,Algebra,Inecuaciones Lineales,21,True
8077,Algebra,Inecuaciones Lineales,Algebra,Inecuaciones Lineales,21,True
8078,Algebra,Inecuaciones Lineales,Algebra,Inecuaciones Lineales,21,True
8079,Algebra,Inecuaciones Lineales,Algebra,Inecuaciones Lineales,21,True
8080,Algebra,Intervalos,Algebra,Intervalos,24,True
8081,Algebra,Intervalos,Algebra,Intervalos,24,True
8082,Algebra,Intervalos,Algebra,Intervalos,24,True
8083,Algebra,Intervalos,Algebra,Intervalos,24,True
8084,Algebra,Intervalos,Algebra,Intervalos,24,True
8085,Algebra,Intervalos,Algebra,Intervalos,24,True
8086,Algebra,Intervalos,Algebra,Intervalos,24,True
8087,Algebra,Desigualdades,Algebra,Desigualdades,5,True
8088,Algebra,Desigualdades,Algebra,Desigualdades,5,True
8089,Algebra,Desigualdades,Algebra,Desigualdades,5,True
8090,Algebra,Desigualdades,Algebra,Desigualdades,5,True
8091,Algebra,Desigualdades,Algebra,Desigualdades,5,True
8092,Algebra,Desigualdades,Algebra,Desigualdades,5,True
8093,Algebra,Desigualdades,Algebra,Desigualdades,5,True
8094,Algebra,Desigualdades,Algebra,Desigualdades,5,True
8095,Algebra,Inecuaciones Lineales,Algebra,Inecuaciones Lineales,21,True
8096,Algebra,Inecuaciones Lineales,Algebra,Inecuaciones Lineales,21,True
8097,Algebra,Inecuaciones Lineales,Algebra,Inecuaciones Lineales,21,True
8098,Algebra,Inecuaciones Lineales,Algebra,Inecuaciones Lineales,21,True
8099,Algebra,Inecuaciones Lineales,Algebra,Inecuaciones Lineales,21,True
8100,Algebra,Intervalos,Algebra,Intervalos,24,True
8101,Algebra,Intervalos,Algebra,Intervalos,24,True
8102,Algebra,Desigualdades,Algebra,Desigualdades,5,True
8103,Algebra,Inecuaciones Lineales,Algebra,Inecuaciones Lineales,21,True
